,,,,age,sex,race,eth
3013.0,9.0,254302.0,29,15,1,3,0
3013.0,9.0,254302.0,30,16,0,3,0
3013.0,9.0,254302.0,31,16,1,0,0
3013.0,9.0,254302.0,32,17,0,0,0
3013.0,9.0,254302.0,33,17,1,0,0
3013.0,9.0,254302.0,34,18,0,0,1
3013.0,9.0,254302.0,35,18,0,5,0
3013.0,9.0,254302.0,36,18,0,7,0
3013.0,9.0,254302.0,37,18,1,0,0
3013.0,9.0,254302.0,38,18,1,3,0
3013.0,9.0,254302.0,39,18,1,5,1
3013.0,9.0,254302.0,40,18,1,9,0
3013.0,9.0,254302.0,41,18,1,10,0
2000.0,5.0,646101.0,0,0,0,0,0
2000.0,5.0,646101.0,1,1,0,0,0
2000.0,5.0,646101.0,2,1,1,0,0
2000.0,5.0,646101.0,3,2,0,0,0
2000.0,5.0,646101.0,4,2,1,0,0
2000.0,5.0,646101.0,5,3,0,0,0
2000.0,5.0,646101.0,6,3,1,0,0
2000.0,5.0,646101.0,7,4,0,0,0
2000.0,5.0,646101.0,8,4,0,6,0
2000.0,5.0,646101.0,9,4,1,0,0
2000.0,5.0,646101.0,10,5,0,10,0
2000.0,5.0,646101.0,11,5,1,0,0
2000.0,5.0,646101.0,12,6,0,0,0
2000.0,5.0,646101.0,13,7,0,0,0
2000.0,5.0,646101.0,14,7,1,0,0
2000.0,5.0,646101.0,15,7,1,10,0
2000.0,5.0,646101.0,16,8,1,0,0
2000.0,5.0,646101.0,17,9,1,0,0
2000.0,5.0,646101.0,18,9,1,1,0
2000.0,5.0,646101.0,19,10,0,0,0
2000.0,5.0,646101.0,20,10,1,0,0
2000.0,5.0,646101.0,21,11,0,0,0
2000.0,5.0,646101.0,22,11,1,0,0
2000.0,5.0,646101.0,23,12,0,0,0
2000.0,5.0,646101.0,24,12,1,0,0
2000.0,5.0,646101.0,25,13,0,0,0
2000.0,5.0,646101.0,26,13,1,0,0
2000.0,5.0,646101.0,27,14,0,0,0
2000.0,5.0,646101.0,28,15,0,0,0
2000.0,5.0,646101.0,29,15,1,0,0
2000.0,5.0,646101.0,30,16,0,0,0
2000.0,5.0,646101.0,31,16,1,0,0
2000.0,5.0,646101.0,32,17,0,0,0
2000.0,5.0,646101.0,33,17,1,0,0
2000.0,5.0,646101.0,34,18,0,3,0
2000.0,5.0,646101.0,35,18,0,5,0
2000.0,5.0,646101.0,36,18,0,5,1
2000.0,5.0,646101.0,37,18,0,10,0
2000.0,5.0,646101.0,38,18,1,0,0
2000.0,5.0,646101.0,39,18,1,0,1
3002.0,21.0,420100.0,0,0,0,1,0
3002.0,21.0,420100.0,1,0,1,0,0
3002.0,21.0,420100.0,2,0,1,5,1
3002.0,21.0,420100.0,3,1,1,8,0
3002.0,21.0,420100.0,4,2,0,1,0
3002.0,21.0,420100.0,5,2,1,1,0
3002.0,21.0,420100.0,6,3,0,1,0
3002.0,21.0,420100.0,7,3,1,1,0
3002.0,21.0,420100.0,8,4,0,1,0
3002.0,21.0,420100.0,9,4,1,0,0
3002.0,21.0,420100.0,10,5,1,3,0
3002.0,21.0,420100.0,11,6,0,1,0
3002.0,21.0,420100.0,12,7,0,0,0
3002.0,21.0,420100.0,13,7,1,3,0
3002.0,21.0,420100.0,14,8,0,3,0
3002.0,21.0,420100.0,15,8,0,6,0
3002.0,21.0,420100.0,16,8,1,1,0
3002.0,21.0,420100.0,17,9,0,1,0
3002.0,21.0,420100.0,18,9,0,33,0
3002.0,21.0,420100.0,19,9,1,0,0
3002.0,21.0,420100.0,20,10,0,1,0
3002.0,21.0,420100.0,21,10,1,1,0
3002.0,21.0,420100.0,22,11,0,0,1
3002.0,21.0,420100.0,23,11,0,1,0
3002.0,21.0,420100.0,24,11,1,1,0
3002.0,21.0,420100.0,25,12,0,1,0
3002.0,21.0,420100.0,26,12,1,1,0
3002.0,21.0,420100.0,27,13,0,1,0
3002.0,21.0,420100.0,28,14,0,3,0
3002.0,21.0,420100.0,29,14,1,1,0
3002.0,21.0,420100.0,30,15,0,1,0
3002.0,21.0,420100.0,31,15,1,0,1
3002.0,21.0,420100.0,32,15,1,3,0
3002.0,21.0,420100.0,33,16,0,1,0
3002.0,21.0,420100.0,34,17,0,1,0
3002.0,21.0,420100.0,35,17,1,1,0
3002.0,21.0,420100.0,36,18,0,0,0
3002.0,21.0,420100.0,37,18,0,0,1
3002.0,21.0,420100.0,38,18,0,1,0
3002.0,21.0,420100.0,39,18,0,1,1
3002.0,21.0,420100.0,40,18,0,6,0
3002.0,21.0,420100.0,41,18,0,11,0
3002.0,21.0,420100.0,42,18,0,33,0
3002.0,21.0,420100.0,43,18,1,3,0
3002.0,21.0,420100.0,44,18,1,5,0
3002.0,21.0,420100.0,45,18,1,14,0
2000.0,21.0,456101.0,0,0,0,8,0
2000.0,21.0,456101.0,1,0,1,3,0
2000.0,21.0,456101.0,2,1,1,3,0
2000.0,21.0,456101.0,3,3,0,0,0
2000.0,21.0,456101.0,4,3,1,6,0
2000.0,21.0,456101.0,5,4,0,0,0
2000.0,21.0,456101.0,6,4,1,0,0
2000.0,21.0,456101.0,7,5,0,0,1
2000.0,21.0,456101.0,8,5,0,3,0
2000.0,21.0,456101.0,9,5,1,3,0
2000.0,21.0,456101.0,10,6,0,0,0
2000.0,21.0,456101.0,11,6,1,0,0
2000.0,21.0,456101.0,12,6,1,8,0
2000.0,21.0,456101.0,13,8,0,0,0
2000.0,21.0,456101.0,14,8,1,0,0
2000.0,21.0,456101.0,15,9,0,1,0
2000.0,21.0,456101.0,16,9,1,3,0
2000.0,21.0,456101.0,17,10,1,0,0
2000.0,21.0,456101.0,18,11,0,0,0
2000.0,21.0,456101.0,19,11,1,1,0
2000.0,21.0,456101.0,20,12,0,0,0
2000.0,21.0,456101.0,21,12,1,0,0
2000.0,21.0,456101.0,22,12,1,6,0
2000.0,21.0,456101.0,23,13,0,0,0
2000.0,21.0,456101.0,24,13,1,0,0
2000.0,21.0,456101.0,25,14,0,0,0
2000.0,21.0,456101.0,26,14,1,0,0
2000.0,21.0,456101.0,27,15,0,0,0
2000.0,21.0,456101.0,28,15,1,0,0
2000.0,21.0,456101.0,29,16,0,0,0
2000.0,21.0,456101.0,30,16,1,0,1
2000.0,21.0,456101.0,31,17,0,0,0
2000.0,21.0,456101.0,32,17,1,0,0
2000.0,21.0,456101.0,33,18,0,0,1
2000.0,21.0,456101.0,34,18,0,3,0
2000.0,21.0,456101.0,35,18,0,5,0
2000.0,21.0,456101.0,36,18,0,6,0
2000.0,21.0,456101.0,37,18,0,7,0
2000.0,21.0,456101.0,38,18,0,14,0
2000.0,21.0,456101.0,39,18,1,0,0
2000.0,21.0,456101.0,40,18,1,1,0
2000.0,21.0,456101.0,41,18,1,2,0
2000.0,21.0,456101.0,42,18,1,5,1
2000.0,13.0,802000.0,0,0,0,0,1
2000.0,13.0,802000.0,1,0,1,5,1
2000.0,13.0,802000.0,2,1,0,0,1
2000.0,13.0,802000.0,3,1,0,14,1
2000.0,13.0,802000.0,4,1,0,15,1
2000.0,13.0,802000.0,5,1,0,20,1
2000.0,13.0,802000.0,6,1,1,0,1
2000.0,13.0,802000.0,7,2,0,0,1
2000.0,13.0,802000.0,8,2,1,1,1
2000.0,13.0,802000.0,9,3,0,1,0
2000.0,13.0,802000.0,10,3,1,0,1
2000.0,13.0,802000.0,11,3,1,1,0
2000.0,13.0,802000.0,12,4,0,0,1
2000.0,13.0,802000.0,13,4,1,1,1
2000.0,13.0,802000.0,14,5,0,0,1
2000.0,13.0,802000.0,15,5,1,1,1
2000.0,13.0,802000.0,16,6,0,4,1
2000.0,13.0,802000.0,17,6,0,20,1
2000.0,13.0,802000.0,18,6,1,5,1
2000.0,13.0,802000.0,19,7,0,1,1
2000.0,13.0,802000.0,20,7,1,0,1
2000.0,13.0,802000.0,21,8,0,2,1
2000.0,13.0,802000.0,22,8,1,0,1
2000.0,13.0,802000.0,23,9,0,1,1
2000.0,13.0,802000.0,24,9,1,19,1
2000.0,13.0,802000.0,25,10,0,0,1
2000.0,13.0,802000.0,26,10,0,10,1
2000.0,13.0,802000.0,27,10,1,10,1
2000.0,13.0,802000.0,28,11,0,1,1
2000.0,13.0,802000.0,29,11,1,1,0
2000.0,13.0,802000.0,30,12,0,1,1
2000.0,13.0,802000.0,31,12,0,6,0
2000.0,13.0,802000.0,32,12,0,19,1
2000.0,13.0,802000.0,33,12,1,0,0
2000.0,13.0,802000.0,34,12,1,5,1
2000.0,13.0,802000.0,35,13,0,0,1
2000.0,13.0,802000.0,36,13,1,5,1
2000.0,13.0,802000.0,37,14,0,19,1
2000.0,13.0,802000.0,38,14,1,17,1
2000.0,13.0,802000.0,39,15,0,0,1
2000.0,13.0,802000.0,40,15,1,0,1
2000.0,13.0,802000.0,41,15,1,1,1
2000.0,13.0,802000.0,42,15,1,3,1
2000.0,13.0,802000.0,43,16,0,3,1
2000.0,13.0,802000.0,44,16,1,0,1
2000.0,13.0,802000.0,45,17,0,0,1
2000.0,13.0,802000.0,46,17,1,0,1
2000.0,13.0,802000.0,47,18,0,0,1
2000.0,13.0,802000.0,48,18,0,5,0
2000.0,13.0,802000.0,49,18,1,0,0
2000.0,13.0,802000.0,50,18,1,1,0
2000.0,13.0,802000.0,51,18,1,5,1
2000.0,13.0,802000.0,52,18,1,6,0
2020.0,3.0,921500.0,0,0,0,0,0
2020.0,3.0,921500.0,1,0,1,0,0
2020.0,3.0,921500.0,2,0,1,24,1
2020.0,3.0,921500.0,3,1,0,0,0
2020.0,3.0,921500.0,4,1,1,0,0
2020.0,3.0,921500.0,5,2,0,0,0
2020.0,3.0,921500.0,6,2,1,0,0
2020.0,3.0,921500.0,7,3,0,0,0
2020.0,3.0,921500.0,8,3,1,0,0
2020.0,3.0,921500.0,9,4,0,6,0
2020.0,3.0,921500.0,10,4,0,8,0
2020.0,3.0,921500.0,11,4,1,0,0
2020.0,3.0,921500.0,12,5,0,0,0
2020.0,3.0,921500.0,13,5,1,1,0
2020.0,3.0,921500.0,14,6,0,6,0
2020.0,3.0,921500.0,15,7,0,0,0
2020.0,3.0,921500.0,16,7,1,1,0
2020.0,3.0,921500.0,17,8,0,0,0
2020.0,3.0,921500.0,18,8,1,0,0
2020.0,3.0,921500.0,19,9,0,0,0
2020.0,3.0,921500.0,20,9,1,0,0
2020.0,3.0,921500.0,21,10,0,0,0
2020.0,3.0,921500.0,22,10,0,5,1
2020.0,3.0,921500.0,23,10,1,0,0
2020.0,3.0,921500.0,24,11,0,0,1
2020.0,3.0,921500.0,25,11,0,3,0
2020.0,3.0,921500.0,26,11,1,1,0
2020.0,3.0,921500.0,27,12,0,0,0
2020.0,3.0,921500.0,28,12,1,0,0
2020.0,3.0,921500.0,29,13,0,0,0
2020.0,3.0,921500.0,30,13,1,6,0
2020.0,3.0,921500.0,31,14,1,0,0
2020.0,3.0,921500.0,32,15,0,0,0
2020.0,3.0,921500.0,33,15,0,6,0
2020.0,3.0,921500.0,34,15,1,0,0
2020.0,3.0,921500.0,35,16,0,0,0
2020.0,3.0,921500.0,36,16,0,1,0
2020.0,3.0,921500.0,37,16,0,3,0
2020.0,3.0,921500.0,38,16,1,0,0
2020.0,3.0,921500.0,39,17,0,0,0
2020.0,3.0,921500.0,40,17,1,6,0
2020.0,3.0,921500.0,41,18,0,3,0
2020.0,3.0,921500.0,42,18,0,5,1
2020.0,3.0,921500.0,43,18,0,6,0
2020.0,3.0,921500.0,44,18,0,8,0
2020.0,3.0,921500.0,45,18,1,0,0
2020.0,3.0,921500.0,46,18,1,1,0
2020.0,3.0,921500.0,47,18,1,5,0
2020.0,3.0,921500.0,48,18,1,7,0
2020.0,3.0,921500.0,49,18,1,10,1
5000.0,21.0,410400.0,0,0,0,0,0
5000.0,21.0,410400.0,1,0,1,0,0
5000.0,21.0,410400.0,2,1,0,0,1
5000.0,21.0,410400.0,3,1,1,0,0
5000.0,21.0,410400.0,4,2,0,0,0
5000.0,21.0,410400.0,5,2,1,0,0
5000.0,21.0,410400.0,6,3,0,0,0
5000.0,21.0,410400.0,7,4,0,0,1
5000.0,21.0,410400.0,8,5,0,0,0
5000.0,21.0,410400.0,9,5,1,0,0
5000.0,21.0,410400.0,10,6,0,3,0
5000.0,21.0,410400.0,11,7,0,0,0
5000.0,21.0,410400.0,12,7,1,0,0
5000.0,21.0,410400.0,13,7,1,3,0
5000.0,21.0,410400.0,14,8,0,0,0
5000.0,21.0,410400.0,15,8,1,0,0
5000.0,21.0,410400.0,16,9,0,0,0
5000.0,21.0,410400.0,17,9,1,3,0
5000.0,21.0,410400.0,18,10,0,0,0
5000.0,21.0,410400.0,19,10,1,3,0
5000.0,21.0,410400.0,20,11,0,0,1
5000.0,21.0,410400.0,21,12,1,1,0
5000.0,21.0,410400.0,22,13,0,3,0
5000.0,21.0,410400.0,23,13,1,1,0
5000.0,21.0,410400.0,24,15,0,0,0
5000.0,21.0,410400.0,25,15,1,1,0
5000.0,21.0,410400.0,26,15,1,5,0
5000.0,21.0,410400.0,27,16,1,0,0
5000.0,21.0,410400.0,28,17,0,0,0
5000.0,21.0,410400.0,29,17,1,3,0
5000.0,21.0,410400.0,30,18,0,1,0
5000.0,21.0,410400.0,31,18,1,0,0
5000.0,21.0,410400.0,32,18,1,3,0
5000.0,21.0,410400.0,33,18,1,4,0
5000.0,21.0,410400.0,34,18,1,5,0
5000.0,21.0,410400.0,35,18,1,5,1
5000.0,21.0,410400.0,36,18,1,6,0
5000.0,21.0,410400.0,37,18,1,8,0
5000.0,21.0,410400.0,38,18,1,20,1
1025.0,5.0,633200.0,0,0,0,0,0
1025.0,5.0,633200.0,1,0,1,7,0
1025.0,5.0,633200.0,2,1,0,0,0
1025.0,5.0,633200.0,3,1,1,0,0
1025.0,5.0,633200.0,4,2,0,0,0
1025.0,5.0,633200.0,5,2,1,0,0
1025.0,5.0,633200.0,6,3,0,0,0
1025.0,5.0,633200.0,7,3,1,0,0
1025.0,5.0,633200.0,8,4,0,3,0
1025.0,5.0,633200.0,9,5,0,0,0
1025.0,5.0,633200.0,10,5,1,0,0
1025.0,5.0,633200.0,11,6,0,0,0
1025.0,5.0,633200.0,12,6,1,0,0
1025.0,5.0,633200.0,13,7,0,0,0
1025.0,5.0,633200.0,14,7,1,0,0
1025.0,5.0,633200.0,15,8,0,0,0
1025.0,5.0,633200.0,16,8,1,0,0
1025.0,5.0,633200.0,17,9,0,0,0
1025.0,5.0,633200.0,18,9,1,0,1
1025.0,5.0,633200.0,19,10,0,0,0
1025.0,5.0,633200.0,20,10,1,0,0
1025.0,5.0,633200.0,21,10,1,7,0
1025.0,5.0,633200.0,22,11,0,0,0
1025.0,5.0,633200.0,23,11,1,0,0
1025.0,5.0,633200.0,24,12,0,0,0
1025.0,5.0,633200.0,25,12,1,3,0
1025.0,5.0,633200.0,26,13,0,0,0
1025.0,5.0,633200.0,27,13,1,0,0
1025.0,5.0,633200.0,28,14,0,0,0
1025.0,5.0,633200.0,29,14,1,0,0
1025.0,5.0,633200.0,30,15,0,0,0
1025.0,5.0,633200.0,31,15,1,0,0
1025.0,5.0,633200.0,32,16,0,0,0
1025.0,5.0,633200.0,33,16,1,0,0
1025.0,5.0,633200.0,34,17,0,0,0
1025.0,5.0,633200.0,35,17,1,0,0
1025.0,5.0,633200.0,36,18,0,7,0
1025.0,5.0,633200.0,37,18,0,14,0
1025.0,5.0,633200.0,38,18,1,0,0
1025.0,5.0,633200.0,39,18,1,1,0
1025.0,5.0,633200.0,40,18,1,3,0
4002.0,17.0,325100.0,0,0,0,0,0
4002.0,17.0,325100.0,1,0,1,0,0
4002.0,17.0,325100.0,2,0,1,8,0
4002.0,17.0,325100.0,3,1,0,0,0
4002.0,17.0,325100.0,4,1,1,0,0
4002.0,17.0,325100.0,5,1,1,1,0
4002.0,17.0,325100.0,6,2,0,0,0
4002.0,17.0,325100.0,7,2,1,21,0
4002.0,17.0,325100.0,8,3,0,0,0
4002.0,17.0,325100.0,9,3,1,0,0
4002.0,17.0,325100.0,10,4,0,0,0
4002.0,17.0,325100.0,11,4,1,0,0
4002.0,17.0,325100.0,12,5,0,0,0
4002.0,17.0,325100.0,13,5,1,0,0
4002.0,17.0,325100.0,14,6,1,0,1
4002.0,17.0,325100.0,15,7,0,0,0
4002.0,17.0,325100.0,16,7,1,0,0
4002.0,17.0,325100.0,17,8,0,0,0
4002.0,17.0,325100.0,18,8,1,21,1
4002.0,17.0,325100.0,19,9,0,0,0
4002.0,17.0,325100.0,20,9,1,0,0
4002.0,17.0,325100.0,21,10,0,0,1
4002.0,17.0,325100.0,22,10,1,0,0
4002.0,17.0,325100.0,23,11,0,3,0
4002.0,17.0,325100.0,24,11,0,21,0
4002.0,17.0,325100.0,25,11,1,0,0
4002.0,17.0,325100.0,26,12,0,0,0
4002.0,17.0,325100.0,27,12,1,0,0
4002.0,17.0,325100.0,28,13,0,0,0
4002.0,17.0,325100.0,29,13,1,0,0
4002.0,17.0,325100.0,30,14,0,1,1
4002.0,17.0,325100.0,31,14,1,0,0
4002.0,17.0,325100.0,32,15,0,0,0
4002.0,17.0,325100.0,33,15,1,0,0
4002.0,17.0,325100.0,34,15,1,0,1
4002.0,17.0,325100.0,35,16,0,0,0
4002.0,17.0,325100.0,36,16,1,0,0
4002.0,17.0,325100.0,37,17,0,0,0
4002.0,17.0,325100.0,38,17,1,0,0
4002.0,17.0,325100.0,39,18,0,0,0
4002.0,17.0,325100.0,40,18,0,1,0
4002.0,17.0,325100.0,41,18,0,2,1
4002.0,17.0,325100.0,42,18,0,3,0
4002.0,17.0,325100.0,43,18,0,5,0
4002.0,17.0,325100.0,44,18,1,0,1
4002.0,17.0,325100.0,45,18,1,5,1
4002.0,17.0,325100.0,46,18,1,8,0
4002.0,17.0,325100.0,47,18,1,21,1
4002.0,17.0,325100.0,48,18,1,31,0
2008.0,17.0,353500.0,0,0,0,0,0
2008.0,17.0,353500.0,1,0,1,1,0
2008.0,17.0,353500.0,2,1,0,1,0
2008.0,17.0,353500.0,3,1,1,0,0
2008.0,17.0,353500.0,4,2,0,1,0
2008.0,17.0,353500.0,5,2,1,1,0
2008.0,17.0,353500.0,6,3,0,1,0
2008.0,17.0,353500.0,7,3,1,1,0
2008.0,17.0,353500.0,8,4,0,5,1
2008.0,17.0,353500.0,9,4,1,0,0
2008.0,17.0,353500.0,10,5,0,1,0
2008.0,17.0,353500.0,11,5,1,1,0
2008.0,17.0,353500.0,12,5,1,2,0
2008.0,17.0,353500.0,13,6,0,1,0
2008.0,17.0,353500.0,14,7,0,1,0
2008.0,17.0,353500.0,15,7,1,1,0
2008.0,17.0,353500.0,16,8,0,1,0
2008.0,17.0,353500.0,17,8,0,21,0
2008.0,17.0,353500.0,18,8,1,11,0
2008.0,17.0,353500.0,19,9,0,1,0
2008.0,17.0,353500.0,20,9,1,1,0
2008.0,17.0,353500.0,21,10,0,1,0
2008.0,17.0,353500.0,22,10,1,7,1
2008.0,17.0,353500.0,23,10,1,12,0
2008.0,17.0,353500.0,24,11,0,1,0
2008.0,17.0,353500.0,25,11,1,7,1
2008.0,17.0,353500.0,26,12,0,1,0
2008.0,17.0,353500.0,27,12,1,5,1
2008.0,17.0,353500.0,28,12,1,6,0
2008.0,17.0,353500.0,29,12,1,14,0
2008.0,17.0,353500.0,30,13,0,1,0
2008.0,17.0,353500.0,31,13,1,1,0
2008.0,17.0,353500.0,32,13,1,5,1
2008.0,17.0,353500.0,33,14,0,1,0
2008.0,17.0,353500.0,34,14,1,1,0
2008.0,17.0,353500.0,35,15,0,5,1
2008.0,17.0,353500.0,36,15,1,1,0
2008.0,17.0,353500.0,37,16,0,3,0
2008.0,17.0,353500.0,38,16,1,1,0
2008.0,17.0,353500.0,39,17,0,1,0
2008.0,17.0,353500.0,40,17,1,1,0
2008.0,17.0,353500.0,41,18,0,0,0
2008.0,17.0,353500.0,42,18,0,1,1
2008.0,17.0,353500.0,43,18,0,2,1
2008.0,17.0,353500.0,44,18,0,3,0
2008.0,17.0,353500.0,45,18,0,6,0
2008.0,17.0,353500.0,46,18,0,6,1
2008.0,17.0,353500.0,47,18,0,19,0
2008.0,17.0,353500.0,48,18,0,21,1
2008.0,17.0,353500.0,49,18,1,0,1
2008.0,17.0,353500.0,50,18,1,1,0
2008.0,17.0,353500.0,51,18,1,7,0
2008.0,17.0,353500.0,52,18,1,11,0
2008.0,17.0,353500.0,53,18,1,14,1
2008.0,17.0,353500.0,54,18,1,20,1
2008.0,17.0,353500.0,55,18,1,21,0
1051.0,15.0,820202.0,0,0,0,3,0
1051.0,15.0,820202.0,1,0,1,0,0
1051.0,15.0,820202.0,2,1,1,0,0
1051.0,15.0,820202.0,3,2,0,0,1
1051.0,15.0,820202.0,4,2,1,0,0
1051.0,15.0,820202.0,5,3,0,0,0
1051.0,15.0,820202.0,6,3,1,0,0
1051.0,15.0,820202.0,7,4,0,0,0
1051.0,15.0,820202.0,8,5,1,0,0
1051.0,15.0,820202.0,9,6,0,0,0
1051.0,15.0,820202.0,10,6,1,0,0
1051.0,15.0,820202.0,11,7,0,0,0
1051.0,15.0,820202.0,12,8,1,0,0
1051.0,15.0,820202.0,13,9,0,1,0
1051.0,15.0,820202.0,14,9,1,0,0
1051.0,15.0,820202.0,15,10,0,0,0
1051.0,15.0,820202.0,16,10,1,0,0
1051.0,15.0,820202.0,17,11,0,0,0
1051.0,15.0,820202.0,18,11,1,0,0
1051.0,15.0,820202.0,19,12,0,8,0
1051.0,15.0,820202.0,20,12,1,0,0
1051.0,15.0,820202.0,21,13,0,0,0
1051.0,15.0,820202.0,22,13,1,0,0
1051.0,15.0,820202.0,23,14,0,3,0
1051.0,15.0,820202.0,24,14,1,0,0
1051.0,15.0,820202.0,25,15,0,0,0
1051.0,15.0,820202.0,26,15,1,0,0
1051.0,15.0,820202.0,27,16,0,0,0
1051.0,15.0,820202.0,28,16,1,0,0
1051.0,15.0,820202.0,29,17,0,0,0
1051.0,15.0,820202.0,30,17,1,0,0
1051.0,15.0,820202.0,31,18,0,0,0
1051.0,15.0,820202.0,32,18,0,0,1
1051.0,15.0,820202.0,33,18,0,1,0
1051.0,15.0,820202.0,34,18,0,6,0
1051.0,15.0,820202.0,35,18,0,7,0
1051.0,15.0,820202.0,36,18,0,10,1
1051.0,15.0,820202.0,37,18,1,3,0
1051.0,15.0,820202.0,38,18,1,10,0
5001.0,25.0,160101.0,0,0,0,0,1
5001.0,25.0,160101.0,1,0,0,1,0
5001.0,25.0,160101.0,2,0,1,1,1
5001.0,25.0,160101.0,3,0,1,2,1
5001.0,25.0,160101.0,4,0,1,5,1
5001.0,25.0,160101.0,5,1,0,6,1
5001.0,25.0,160101.0,6,1,1,2,1
5001.0,25.0,160101.0,7,2,0,5,1
5001.0,25.0,160101.0,8,2,1,5,1
5001.0,25.0,160101.0,9,3,0,5,1
5001.0,25.0,160101.0,10,3,1,5,1
5001.0,25.0,160101.0,11,4,0,5,1
5001.0,25.0,160101.0,12,4,1,5,1
5001.0,25.0,160101.0,13,5,0,10,1
5001.0,25.0,160101.0,14,5,1,10,1
5001.0,25.0,160101.0,15,6,0,5,1
5001.0,25.0,160101.0,16,6,1,5,1
5001.0,25.0,160101.0,17,7,0,5,1
5001.0,25.0,160101.0,18,8,0,0,1
5001.0,25.0,160101.0,19,8,1,5,1
5001.0,25.0,160101.0,20,9,0,5,1
5001.0,25.0,160101.0,21,9,0,6,1
5001.0,25.0,160101.0,22,9,1,0,1
5001.0,25.0,160101.0,23,9,1,13,0
5001.0,25.0,160101.0,24,9,1,17,1
5001.0,25.0,160101.0,25,9,1,19,1
5001.0,25.0,160101.0,26,10,1,0,1
5001.0,25.0,160101.0,27,11,0,5,1
5001.0,25.0,160101.0,28,11,1,0,1
5001.0,25.0,160101.0,29,12,0,5,1
5001.0,25.0,160101.0,30,12,1,5,1
5001.0,25.0,160101.0,31,13,0,5,1
5001.0,25.0,160101.0,32,13,1,2,1
5001.0,25.0,160101.0,33,14,0,5,1
5001.0,25.0,160101.0,34,14,1,5,1
5001.0,25.0,160101.0,35,15,0,10,1
5001.0,25.0,160101.0,36,15,1,0,1
5001.0,25.0,160101.0,37,16,0,0,1
5001.0,25.0,160101.0,38,16,1,5,1
5001.0,25.0,160101.0,39,17,0,5,1
5001.0,25.0,160101.0,40,18,0,0,0
5001.0,25.0,160101.0,41,18,0,1,0
5001.0,25.0,160101.0,42,18,1,0,1
5001.0,25.0,160101.0,43,18,1,5,1
1004.0,13.0,813301.0,0,0,1,3,0
1004.0,13.0,813301.0,1,1,0,0,0
1004.0,13.0,813301.0,2,1,1,0,0
1004.0,13.0,813301.0,3,2,0,0,0
1004.0,13.0,813301.0,4,2,1,0,0
1004.0,13.0,813301.0,5,3,0,0,0
1004.0,13.0,813301.0,6,3,1,0,0
1004.0,13.0,813301.0,7,4,0,0,0
1004.0,13.0,813301.0,8,4,1,0,0
1004.0,13.0,813301.0,9,5,0,0,0
1004.0,13.0,813301.0,10,5,1,0,0
1004.0,13.0,813301.0,11,6,0,0,0
1004.0,13.0,813301.0,12,6,1,0,0
1004.0,13.0,813301.0,13,7,0,0,0
1004.0,13.0,813301.0,14,7,1,0,0
1004.0,13.0,813301.0,15,8,0,3,0
1004.0,13.0,813301.0,16,8,1,0,0
1004.0,13.0,813301.0,17,8,1,6,0
1004.0,13.0,813301.0,18,9,0,0,0
1004.0,13.0,813301.0,19,9,1,0,0
1004.0,13.0,813301.0,20,10,0,0,0
1004.0,13.0,813301.0,21,10,1,0,0
1004.0,13.0,813301.0,22,11,0,0,0
1004.0,13.0,813301.0,23,11,1,0,0
1004.0,13.0,813301.0,24,11,1,0,1
1004.0,13.0,813301.0,25,12,0,0,0
1004.0,13.0,813301.0,26,12,1,0,0
1004.0,13.0,813301.0,27,13,0,0,0
